tick,flight_id,origin,destination,phase,altitude,delay
15,FL001,KPDX,KBFI,Cruise,35000,0
15,FL002,KPDX,KRNT,Cruise,35000,2
15,FL003,KGEG,KRNT,Cruise,35000,0
15,FL004,KRNT,KSEA,Cruise,35000,0
15,FL005,KEUG,KRNT,Cruise,35000,0
15,FL006,KPAE,KBOI,Cruise,35000,0
15,FL007,KSEA,KGEG,Cruise,35000,0
15,FL008,KSEA,KGEG,Cruise,35000,2
15,FL009,KEUG,KBFI,Cruise,35000,2
15,FL010,KGEG,KRNT,Climb,12000,2
15,FL011,KGEG,KOLM,Climb,12000,4
15,FL012,KTTD,KBFI,Cruise,35000,2
15,FL013,KGEG,KTTD,Climb,12000,6
15,FL014,KEUG,KTTD,Cruise,35000,4
16,FL000,KTTD,KEUG,Descent,15000,0
16,FL001,KPDX,KBFI,Descent,15000,0
16,FL002,KPDX,KRNT,Cruise,35000,2
16,FL003,KGEG,KRNT,Cruise,35000,0
16,FL004,KRNT,KSEA,Descent,15000,0
16,FL005,KEUG,KRNT,Cruise,35000,0
16,FL006,KPAE,KBOI,Cruise,35000,0
16,FL007,KSEA,KGEG,Cruise,35000,0
16,FL008,KSEA,KGEG,Cruise,35000,2
16,FL009,KEUG,KBFI,Descent,15000,2
16,FL010,KGEG,KRNT,Cruise,35000,2
16,FL011,KGEG,KOLM,Climb,12000,4
16,FL012,KTTD,KBFI,Cruise,35000,2
16,FL013,KGEG,KTTD,Climb,12000,6
16,FL014,KEUG,KTTD,Cruise,35000,4
17,FL000,KTTD,KEUG,Descent,15000,0
17,FL001,KPDX,KBFI,Descent,15000,0
17,FL002,KPDX,KRNT,Cruise,35000,2
17,FL003,KGEG,KRNT,Descent,15000,0
17,FL004,KRNT,KSEA,Descent,15000,0
17,FL005,KEUG,KRNT,Cruise,35000,0
17,FL006,KPAE,KBOI,Descent,15000,0
17,FL007,KSEA,KGEG,Descent,15000,0
17,FL008,KSEA,KGEG,Descent,15000,2
17,FL009,KEUG,KBFI,Descent,15000,2
17,FL010,KGEG,KRNT,Cruise,35000,2
17,FL011,KGEG,KOLM,Climb,12000,4
17,FL012,KTTD,KBFI,Descent,15000,2
17,FL013,KGEG,KTTD,Climb,12000,6
17,FL014,KEUG,KTTD,Cruise,35000,4
18,FL000,KTTD,KEUG,Descent,15000,0
18,FL001,KPDX,KBFI,Descent,15000,0
18,FL002,KPDX,KRNT,Cruise,35000,2
18,FL003,KGEG,KRNT,Descent,15000,0
18,FL004,KRNT,KSEA,Descent,15000,0
18,FL005,KEUG,KRNT,Cruise,35000,0
18,FL006,KPAE,KBOI,Descent,15000,0
18,FL007,KSEA,KGEG,Descent,15000,0
18,FL008,KSEA,KGEG,Descent,15000,2
18,FL009,KEUG,KBFI,Descent,15000,2
18,FL010,KGEG,KRNT,Cruise,35000,2
18,FL011,KGEG,KOLM,Climb,12000,4
18,FL012,KTTD,KBFI,Descent,15000,2
18,FL013,KGEG,KTTD,Climb,12000,6
18,FL014,KEUG,KTTD,Descent,15000,4
19,FL000,KTTD,KEUG,Approach,3000,0
19,FL001,KPDX,KBFI,Descent,15000,0
19,FL002,KPDX,KRNT,Descent,15000,2
19,FL003,KGEG,KRNT,Descent,15000,0
19,FL004,KRNT,KSEA,Descent,15000,0
19,FL005,KEUG,KRNT,Descent,15000,0
19,FL006,KPAE,KBOI,Descent,15000,0
19,FL007,KSEA,KGEG,Descent,15000,0
19,FL008,KSEA,KGEG,Descent,15000,2
19,FL009,KEUG,KBFI,Descent,15000,2
19,FL010,KGEG,KRNT,Descent,15000,2
19,FL011,KGEG,KOLM,Cruise,35000,4
19,FL012,KTTD,KBFI,Descent,15000,2
19,FL013,KGEG,KTTD,Cruise,35000,6
19,FL014,KEUG,KTTD,Descent,15000,4
20,FL000,KTTD,KEUG,Approach,3000,0
20,FL001,KPDX,KBFI,Approach,3000,0
20,FL002,KPDX,KRNT,Descent,15000,2
20,FL003,KGEG,KRNT,Descent,15000,0
20,FL004,KRNT,KSEA,Descent,15000,0
20,FL005,KEUG,KRNT,Descent,15000,0
20,FL006,KPAE,KBOI,Approach,3000,0
20,FL007,KSEA,KGEG,Descent,15000,0
20,FL008,KSEA,KGEG,Descent,15000,2
20,FL009,KEUG,KBFI,Approach,3000,2
20,FL010,KGEG,KRNT,Descent,15000,2
